container_id,trade,cargo_category,cargo_type,terminal,month,day_of_week,is_weekend,is_holiday,is_monsoon,customs_exam,vessel_queue,dwell_hours
TUTU9600608,Export,Sugar,Dry,PSA_SICAL,4,2,0,0,0,0,0.832,40.7
TUTU6972051,Export,Granite,Dry,DBGT,1,6,1,0,0,0,0.747,50.3
TUTU3093766,Import,Chemicals,Hazardous,DBGT,2,3,0,0,0,0,0.931,98.9
TUTU5278788,Import,EdibleOil,LiquidBulk,DBGT,4,3,0,0,0,0,0.912,88.9
TUTU3793011,Export,Textiles,Dry,PSA_SICAL,8,2,0,0,0,0,0.801,36.5
TUTU7624119,Export,Seafood,Reefer,DBGT,3,1,0,0,0,0,0.828,25.2
TUTU2633485,Import,Coal,Dry,PSA_SICAL,11,3,0,0,1,0,0.839,92.5
TUTU6650374,Import,Coal,Dry,DBGT,5,6,1,0,0,0,0.764,78.2
TUTU5824611,Import,Coal,Dry,PSA_SICAL,8,5,1,0,0,0,0.808,78.4
TUTU3119015,Export,Granite,Dry,PSA_SICAL,2,2,0,0,0,0,0.804,39.6
TUTU5328193,Import,Seafood,Reefer,DBGT,4,5,1,0,0,0,0.842,55.8
TUTU6596846,Import,Timber,Dry,DBGT,3,5,1,0,0,0,0.824,79.0
TUTU2236671,Export,Electronics,Dry,PSA_SICAL,9,5,1,0,0,0,0.852,51.6
TUTU7549738,Export,Salt,Dry,PSA_SICAL,1,0,0,0,0,1,0.85,76.3
TUTU6396340,Import,Machinery,ODC,PSA_SICAL,10,1,0,0,1,1,0.894,153.4
TUTU9651678,Import,Chemicals,Hazardous,PSA_SICAL,9,2,0,0,0,0,0.777,77.5
TUTU4449878,Import,Machinery,ODC,DBGT,2,5,1,0,0,0,0.83,83.8
TUTU5900589,Import,Chemicals,Hazardous,DBGT,11,6,1,0,1,0,0.72,104.4
TUTU3658230,Export,Textiles,Dry,PSA_SICAL,1,3,0,0,0,0,0.846,44.6
TUTU7126552,Import,EdibleOil,LiquidBulk,DBGT,9,1,0,0,0,1,0.787,105.3
TUTU2287196,Export,Seafood,Reefer,DBGT,11,3,0,0,1,0,0.846,31.5
TUTU8615150,Export,Salt,Dry,PSA_SICAL,12,5,1,0,1,0,0.857,66.3
TUTU2816038,Import,Coal,Dry,DBGT,9,3,0,0,0,0,0.825,72.6
TUTU2972221,Import,Coal,Dry,DBGT,1,1,0,0,0,0,0.84,79.0
TUTU1825488,Import,Coal,Dry,PSA_SICAL,11,2,0,0,1,0,0.841,97.3
TUTU7217876,Export,Electronics,Dry,DBGT,7,2,0,0,0,0,0.876,51.2
TUTU2206851,Export,Seafood,Reefer,PSA_SICAL,5,6,1,0,0,0,0.837,33.5
TUTU4157818,Export,Seafood,Reefer,PSA_SICAL,12,4,0,0,1,1,0.917,80.8
TUTU6871896,Import,Electronics,Dry,PSA_SICAL,7,4,0,0,0,0,0.763,77.7
TUTU4455334,Export,Sugar,Dry,PSA_SICAL,7,6,1,0,0,0,0.781,38.3
TUTU8577938,Export,Seafood,Reefer,PSA_SICAL,6,6,1,0,0,0,0.805,19.2
TUTU1689494,Export,Textiles,Dry,DBGT,9,5,1,0,0,1,0.745,71.5
TUTU7188984,Import,Timber,Dry,DBGT,12,5,1,0,1,0,0.816,90.0
TUTU8586524,Export,Seafood,Reefer,DBGT,6,5,1,0,0,0,0.887,43.9
TUTU4904010,Export,Textiles,Dry,PSA_SICAL,5,0,0,0,0,1,0.798,66.0
TUTU4661261,Export,Granite,Dry,PSA_SICAL,12,4,0,0,1,1,0.779,90.6
TUTU4299475,Import,Coal,Dry,DBGT,9,5,1,0,0,0,0.848,97.5
TUTU9983853,Export,Machinery,ODC,PSA_SICAL,4,4,0,0,0,0,0.794,51.7
TUTU4049700,Import,Coal,Dry,DBGT,12,0,0,0,1,1,0.847,132.3
TUTU5635709,Export,Seafood,Reefer,DBGT,3,4,0,0,0,0,0.882,36.3
TUTU8801212,Import,Chemicals,Hazardous,PSA_SICAL,9,3,0,0,0,0,0.778,86.5
TUTU8875045,Import,Timber,Dry,PSA_SICAL,10,5,1,0,1,0,0.756,90.8
TUTU4704183,Export,Electronics,Dry,PSA_SICAL,12,1,0,0,1,1,0.788,89.3
TUTU4540928,Export,Granite,Dry,DBGT,12,0,0,0,1,0,0.842,56.3
TUTU6597079,Export,Seafood,Reefer,PSA_SICAL,10,0,0,0,1,1,0.789,60.9
TUTU2030979,Import,Chemicals,Hazardous,DBGT,4,1,0,0,0,0,0.8,77.0
TUTU1763304,Import,Coal,Dry,DBGT,4,4,0,0,0,0,0.923,90.9
TUTU1927161,Export,Salt,Dry,PSA_SICAL,3,6,1,0,0,0,0.8,40.0
TUTU1159019,Export,Seafood,Reefer,PSA_SICAL,5,3,0,0,0,0,0.804,20.6
TUTU6579013,Export,Seafood,Reefer,DBGT,5,6,1,0,0,0,0.794,30.1
TUTU3902430,Export,Seafood,Reefer,PSA_SICAL,8,2,0,0,0,0,0.841,26.8
TUTU3875045,Export,Granite,Dry,DBGT,12,6,1,0,1,0,0.798,57.8
TUTU5614588,Import,Seafood,Reefer,DBGT,2,5,1,0,0,1,0.779,67.2
TUTU5043499,Export,Granite,Dry,PSA_SICAL,4,3,0,0,0,1,0.817,72.2
TUTU4749486,Export,Granite,Dry,DBGT,3,1,0,1,0,1,0.819,94.1
TUTU4000172,Export,Granite,Dry,PSA_SICAL,7,5,1,0,0,0,0.706,43.6
TUTU1437123,Export,Electronics,Dry,PSA_SICAL,3,3,0,0,0,0,0.847,47.6
TUTU5445864,Export,Seafood,Reefer,PSA_SICAL,10,0,0,0,1,0,0.879,33.4
TUTU2464691,Import,Electronics,Dry,PSA_SICAL,1,3,0,0,0,0,0.805,73.0
TUTU8409482,Import,Timber,Dry,DBGT,9,5,1,0,0,0,0.882,87.7
TUTU1171307,Export,Granite,Dry,DBGT,1,2,0,0,0,0,0.906,62.1
TUTU5980224,Import,Coal,Dry,PSA_SICAL,10,1,0,0,1,1,0.755,127.3
TUTU9075718,Import,Coal,Dry,DBGT,12,4,0,0,1,0,0.812,87.4
TUTU2667226,Export,Sugar,Dry,PSA_SICAL,12,5,1,1,1,0,0.871,88.9
TUTU7531925,Export,Sugar,Dry,DBGT,7,3,0,0,0,0,0.804,38.0
TUTU3388469,Import,Electronics,Dry,PSA_SICAL,6,2,0,0,0,0,0.832,62.6
TUTU9213243,Export,Machinery,ODC,DBGT,3,6,1,0,0,0,0.821,58.9
TUTU1029211,Import,Chemicals,Hazardous,DBGT,7,5,1,0,0,1,0.782,114.1
TUTU9813020,Import,Coal,Dry,DBGT,3,1,0,0,0,0,0.827,100.2
TUTU3990335,Import,Machinery,ODC,PSA_SICAL,1,4,0,0,0,0,0.822,77.9
TUTU9594084,Import,Timber,Dry,DBGT,2,0,0,0,0,1,0.824,104.0
TUTU8952512,Export,Salt,Dry,PSA_SICAL,1,3,0,0,0,1,0.856,71.5
TUTU7883231,Export,Seafood,Reefer,DBGT,2,2,0,0,0,0,0.764,16.9
TUTU5089001,Export,Granite,Dry,DBGT,3,3,0,0,0,0,0.792,42.1
TUTU7616164,Import,Electronics,Dry,PSA_SICAL,2,3,0,0,0,0,0.825,72.9
TUTU2667086,Import,Coal,Dry,DBGT,3,6,1,0,0,0,0.782,76.0
TUTU8871175,Import,EdibleOil,LiquidBulk,PSA_SICAL,3,4,0,0,0,0,0.726,69.4
TUTU2642524,Import,Chemicals,Hazardous,PSA_SICAL,4,3,0,0,0,0,0.808,79.5
TUTU2472191,Export,Electronics,Dry,PSA_SICAL,12,1,0,0,1,0,0.867,59.9
TUTU4337889,Export,Salt,Dry,PSA_SICAL,1,3,0,0,0,0,0.673,29.5
TUTU4072483,Export,Machinery,ODC,DBGT,6,4,0,0,0,0,0.932,77.4
TUTU8180913,Export,Machinery,ODC,DBGT,7,3,0,0,0,1,0.807,87.4
TUTU4536346,Export,Salt,Dry,DBGT,2,3,0,0,0,0,0.875,45.8
TUTU7717624,Export,Electronics,Dry,DBGT,7,2,0,0,0,0,0.852,48.6
TUTU6939960,Import,Electronics,Dry,PSA_SICAL,9,5,1,0,0,0,0.886,80.4
TUTU8445103,Import,Machinery,ODC,PSA_SICAL,9,6,1,0,0,0,0.799,78.0
TUTU6966186,Import,Electronics,Dry,PSA_SICAL,2,5,1,1,0,0,0.795,86.7
TUTU5913702,Import,Coal,Dry,DBGT,11,1,0,0,1,0,0.836,97.6
TUTU3295962,Import,Electronics,Dry,DBGT,9,5,1,0,0,0,0.83,73.5
TUTU4984931,Export,Machinery,ODC,DBGT,12,4,0,0,1,0,0.772,68.2
TUTU9214045,Export,Seafood,Reefer,DBGT,8,2,0,0,0,0,0.758,20.4
TUTU6916943,Export,Granite,Dry,PSA_SICAL,9,1,0,0,0,0,0.842,57.0
TUTU1067563,Import,Coal,Dry,DBGT,10,2,0,0,1,0,0.816,88.3
TUTU9446017,Export,Electronics,Dry,DBGT,4,1,0,0,0,0,0.791,38.9
TUTU8963640,Import,Timber,Dry,DBGT,2,3,0,0,0,1,0.853,103.6
TUTU3884152,Export,Sugar,Dry,PSA_SICAL,10,4,0,0,1,0,0.899,69.2
TUTU1462772,Export,Granite,Dry,DBGT,4,1,0,0,0,0,0.752,48.4
TUTU3770791,Export,Sugar,Dry,PSA_SICAL,9,5,1,0,0,0,0.824,42.0
TUTU1004668,Export,Seafood,Reefer,PSA_SICAL,7,1,0,0,0,0,0.806,20.8
TUTU3945623,Export,Machinery,ODC,PSA_SICAL,4,5,1,0,0,0,0.812,61.0
TUTU5182116,Export,Textiles,Dry,PSA_SICAL,10,5,1,0,1,0,0.821,56.6
TUTU2652739,Export,Seafood,Reefer,PSA_SICAL,1,5,1,0,0,0,0.792,24.4
TUTU2730705,Import,EdibleOil,LiquidBulk,PSA_SICAL,11,3,0,0,1,0,0.745,88.6
TUTU1934338,Import,Chemicals,Hazardous,PSA_SICAL,6,0,0,0,0,0,0.814,80.2
TUTU3436270,Import,Machinery,ODC,PSA_SICAL,10,5,1,0,1,0,0.78,94.5
TUTU4060473,Export,Machinery,ODC,PSA_SICAL,10,4,0,0,1,0,0.87,81.1
TUTU7115742,Import,Coal,Dry,PSA_SICAL,3,2,0,0,0,1,0.796,99.6
TUTU1290869,Import,Timber,Dry,PSA_SICAL,5,2,0,0,0,0,0.864,76.9
TUTU2037937,Export,Seafood,Reefer,DBGT,12,0,0,0,1,1,0.818,67.4
TUTU3934294,Import,Coal,Dry,PSA_SICAL,3,2,0,0,0,0,0.848,75.5
TUTU4426590,Export,Electronics,Dry,PSA_SICAL,6,6,1,0,0,0,0.849,56.6
TUTU7956474,Import,Electronics,Dry,DBGT,7,2,0,0,0,0,0.799,59.4
TUTU5156360,Export,Salt,Dry,PSA_SICAL,4,2,0,0,0,0,0.859,56.1
TUTU2633203,Export,Sugar,Dry,DBGT,12,2,0,0,1,0,0.814,52.3
TUTU9509678,Import,Coal,Dry,PSA_SICAL,8,4,0,0,0,0,0.821,82.4
TUTU8925275,Import,Coal,Dry,PSA_SICAL,5,5,1,0,0,0,0.823,77.6
TUTU3433075,Export,Salt,Dry,PSA_SICAL,11,0,0,0,1,0,0.833,46.3
TUTU6742677,Import,Coal,Dry,PSA_SICAL,12,4,0,0,1,0,0.851,96.9
TUTU4329858,Import,Machinery,ODC,DBGT,12,6,1,0,1,1,0.786,138.4
TUTU2227328,Import,Coal,Dry,PSA_SICAL,12,3,0,0,1,0,0.792,84.6
TUTU2928937,Export,Salt,Dry,PSA_SICAL,1,6,1,0,0,0,0.766,45.6
TUTU2840209,Import,Seafood,Reefer,DBGT,3,0,0,0,0,0,0.78,43.7
TUTU1363593,Import,Seafood,Reefer,DBGT,7,4,0,0,0,0,0.807,39.8
TUTU9902579,Export,Seafood,Reefer,DBGT,1,5,1,0,0,0,0.799,22.3
TUTU2704271,Import,Timber,Dry,PSA_SICAL,1,5,1,0,0,0,0.882,83.2
TUTU4941508,Import,EdibleOil,LiquidBulk,PSA_SICAL,5,6,1,0,0,0,0.829,92.8
TUTU4477072,Export,Granite,Dry,PSA_SICAL,9,6,1,0,0,0,0.766,46.3
TUTU8840131,Import,Electronics,Dry,DBGT,2,0,0,0,0,0,0.85,71.4
TUTU2382416,Export,Seafood,Reefer,PSA_SICAL,12,2,0,0,1,0,0.833,29.5
TUTU6588311,Export,Textiles,Dry,PSA_SICAL,11,4,0,0,1,0,0.777,54.1
TUTU5864289,Export,Textiles,Dry,DBGT,12,0,0,0,1,0,0.774,53.7
TUTU3492217,Import,Coal,Dry,PSA_SICAL,9,6,1,0,0,1,0.832,108.9
TUTU4795894,Export,Granite,Dry,PSA_SICAL,12,6,1,0,1,0,0.813,69.9
TUTU2737803,Export,Machinery,ODC,DBGT,4,3,0,0,0,0,0.8,51.6
TUTU6962765,Import,Timber,Dry,PSA_SICAL,11,3,0,0,1,0,0.843,91.3
TUTU7591993,Import,Machinery,ODC,PSA_SICAL,7,1,0,0,0,1,0.819,106.8
TUTU2389807,Export,Electronics,Dry,PSA_SICAL,4,5,1,0,0,0,0.826,52.8
TUTU2341391,Export,Granite,Dry,PSA_SICAL,10,3,0,0,1,0,0.819,52.5
TUTU7731910,Export,Textiles,Dry,DBGT,1,4,0,0,0,0,0.789,41.3
TUTU8744112,Export,Granite,Dry,PSA_SICAL,9,1,0,0,0,0,0.823,50.2
TUTU9370029,Export,Textiles,Dry,DBGT,5,0,0,0,0,0,0.757,39.2
TUTU7871191,Import,Chemicals,Hazardous,PSA_SICAL,5,3,0,0,0,1,0.851,118.4
TUTU3026598,Import,Coal,Dry,DBGT,7,4,0,0,0,0,0.896,90.9
TUTU7720483,Export,Seafood,Reefer,PSA_SICAL,10,4,0,0,1,0,0.848,28.1
TUTU8507087,Import,Machinery,ODC,PSA_SICAL,1,0,0,0,0,0,0.86,83.6
TUTU7295761,Export,Sugar,Dry,DBGT,12,5,1,0,1,0,0.828,53.0
TUTU4404861,Import,Chemicals,Hazardous,PSA_SICAL,4,4,0,0,0,0,0.871,92.2
TUTU6079358,Export,Salt,Dry,DBGT,9,5,1,0,0,0,0.703,34.8
TUTU6780271,Export,Machinery,ODC,PSA_SICAL,5,3,0,0,0,0,0.836,66.8
TUTU2905787,Import,Chemicals,Hazardous,PSA_SICAL,12,0,0,0,1,0,0.888,115.6
TUTU3467209,Import,Timber,Dry,DBGT,11,4,0,0,1,1,0.847,126.4
TUTU1652317,Export,Seafood,Reefer,PSA_SICAL,2,1,0,0,0,0,0.83,20.1
TUTU3752201,Export,Machinery,ODC,PSA_SICAL,3,3,0,0,0,0,0.834,53.8
TUTU3778104,Export,Machinery,ODC,DBGT,3,3,0,0,0,0,0.797,48.1
TUTU4555916,Export,Salt,Dry,PSA_SICAL,7,6,1,0,0,0,0.847,49.7
TUTU1639326,Export,Textiles,Dry,DBGT,6,6,1,0,0,0,0.765,55.7
TUTU8879850,Export,Granite,Dry,PSA_SICAL,12,4,0,0,1,0,0.74,54.0
TUTU6448888,Import,Timber,Dry,PSA_SICAL,3,4,0,0,0,0,0.745,64.3
TUTU8785901,Export,Granite,Dry,DBGT,6,5,1,0,0,0,0.793,48.2
TUTU4063545,Import,Chemicals,Hazardous,DBGT,9,6,1,0,0,0,0.939,105.8
TUTU7695951,Import,Electronics,Dry,PSA_SICAL,12,2,0,0,1,0,0.833,81.0
TUTU3618722,Import,Timber,Dry,DBGT,12,4,0,0,1,0,0.791,85.9
TUTU1641740,Export,Seafood,Reefer,PSA_SICAL,3,2,0,0,0,1,0.773,50.3
TUTU4786375,Import,EdibleOil,LiquidBulk,PSA_SICAL,4,4,0,0,0,0,0.866,83.2
TUTU3217169,Export,Seafood,Reefer,DBGT,10,5,1,0,1,0,0.781,25.7
TUTU5007405,Export,Seafood,Reefer,PSA_SICAL,6,4,0,0,0,0,0.875,42.8
TUTU7241863,Import,Coal,Dry,PSA_SICAL,8,2,0,0,0,0,0.767,66.6
TUTU1743803,Export,Granite,Dry,PSA_SICAL,10,5,1,0,1,0,0.824,71.2
TUTU5757917,Import,Machinery,ODC,PSA_SICAL,8,6,1,0,0,0,0.825,79.9
TUTU4298344,Export,Granite,Dry,PSA_SICAL,12,6,1,0,1,0,0.737,53.3
TUTU6129845,Import,Coal,Dry,PSA_SICAL,10,1,0,0,1,0,0.818,90.8
TUTU7529911,Export,Textiles,Dry,DBGT,2,1,0,0,0,0,0.868,47.5
TUTU6242002,Export,Seafood,Reefer,PSA_SICAL,4,4,0,0,0,0,0.807,24.6
TUTU9644996,Export,Salt,Dry,DBGT,9,5,1,0,0,0,0.776,47.4
TUTU6046995,Export,Salt,Dry,PSA_SICAL,4,0,0,0,0,0,0.894,51.0
TUTU2008097,Export,Seafood,Reefer,DBGT,7,5,1,0,0,0,0.764,23.0
TUTU1584520,Import,Timber,Dry,PSA_SICAL,3,4,0,0,0,0,0.872,75.3
TUTU7135260,Export,Granite,Dry,PSA_SICAL,5,0,0,0,0,0,0.81,42.5
TUTU7523350,Export,Sugar,Dry,PSA_SICAL,2,0,0,0,0,0,0.856,55.4
TUTU5698448,Export,Seafood,Reefer,PSA_SICAL,2,2,0,0,0,1,0.833,56.8
TUTU5275201,Import,Coal,Dry,PSA_SICAL,10,6,1,0,1,0,0.791,95.7
TUTU8857463,Export,Textiles,Dry,PSA_SICAL,7,6,1,0,0,0,0.851,57.9
TUTU9736390,Import,Seafood,Reefer,DBGT,10,1,0,0,1,1,0.88,103.6
TUTU9350887,Import,Coal,Dry,DBGT,8,5,1,0,0,0,0.876,85.0
TUTU2573266,Import,Timber,Dry,DBGT,12,6,1,0,1,0,0.885,109.6
TUTU5057933,Export,Machinery,ODC,PSA_SICAL,10,1,0,0,1,0,0.759,63.9
TUTU1641200,Import,Timber,Dry,PSA_SICAL,2,2,0,0,0,0,0.731,66.8
TUTU2683771,Import,Machinery,ODC,DBGT,10,6,1,0,1,1,0.788,133.7
TUTU2258088,Export,Seafood,Reefer,PSA_SICAL,9,3,0,0,0,0,0.805,30.0
TUTU8621975,Export,Sugar,Dry,PSA_SICAL,10,0,0,1,1,0,0.829,80.8
TUTU5636199,Import,Coal,Dry,PSA_SICAL,7,4,0,0,0,0,0.84,78.0
TUTU9638580,Import,Chemicals,Hazardous,DBGT,11,1,0,0,1,0,0.931,120.5
TUTU9888826,Export,Granite,Dry,DBGT,7,0,0,1,0,0,0.851,83.0
TUTU7573031,Export,Seafood,Reefer,PSA_SICAL,3,0,0,0,0,0,0.787,21.9
TUTU5540906,Import,Timber,Dry,PSA_SICAL,7,6,1,0,0,0,0.69,68.0
TUTU4354443,Import,Coal,Dry,PSA_SICAL,9,2,0,0,0,0,0.797,67.1
TUTU7450765,Export,Granite,Dry,DBGT,4,2,0,0,0,0,0.853,51.9
TUTU3036800,Export,Seafood,Reefer,DBGT,7,3,0,0,0,0,0.823,22.5
TUTU9935270,Import,Chemicals,Hazardous,PSA_SICAL,8,4,0,0,0,1,0.805,113.2
TUTU3456599,Export,Machinery,ODC,PSA_SICAL,8,1,0,0,0,1,0.807,81.4
TUTU4051069,Export,Granite,Dry,PSA_SICAL,3,6,1,0,0,1,0.762,83.5
TUTU2096509,Import,Machinery,ODC,DBGT,10,3,0,0,1,0,0.851,106.6
TUTU9363179,Import,Timber,Dry,DBGT,10,0,0,0,1,0,0.734,86.7
TUTU5163419,Import,Chemicals,Hazardous,PSA_SICAL,10,4,0,0,1,1,0.84,149.2
TUTU8914704,Export,Granite,Dry,PSA_SICAL,4,0,0,0,0,0,0.848,48.2
TUTU1068258,Export,Salt,Dry,PSA_SICAL,1,1,0,0,0,0,0.873,64.1
TUTU2278935,Import,EdibleOil,LiquidBulk,DBGT,10,1,0,0,1,1,0.883,144.0
TUTU1628308,Export,Salt,Dry,DBGT,5,5,1,0,0,0,0.802,40.7
TUTU9052556,Export,Electronics,Dry,PSA_SICAL,8,1,0,0,0,0,0.854,46.0
TUTU6893255,Export,Electronics,Dry,DBGT,10,3,0,0,1,0,0.882,57.5
TUTU5072051,Export,Granite,Dry,DBGT,12,4,0,0,1,0,0.823,58.3
TUTU8654926,Export,Sugar,Dry,DBGT,2,2,0,0,0,1,0.733,67.6
TUTU3671816,Export,Salt,Dry,PSA_SICAL,4,3,0,0,0,0,0.829,40.5
TUTU2106202,Import,Machinery,ODC,PSA_SICAL,3,2,0,0,0,0,0.85,82.1
TUTU4861889,Import,Coal,Dry,PSA_SICAL,11,4,0,0,1,0,0.909,108.3
TUTU1403777,Import,Machinery,ODC,DBGT,1,5,1,0,0,0,0.824,82.8
TUTU8743112,Import,Coal,Dry,PSA_SICAL,1,1,0,0,0,0,0.756,67.3
TUTU6458484,Export,Machinery,ODC,DBGT,9,5,1,0,0,0,0.78,61.7
TUTU1388576,Export,Sugar,Dry,DBGT,4,4,0,1,0,0,0.816,57.6
TUTU1027186,Export,Granite,Dry,DBGT,10,3,0,0,1,0,0.701,52.7
TUTU2570834,Export,Seafood,Reefer,DBGT,3,1,0,0,0,0,0.841,30.0
TUTU3813217,Export,Seafood,Reefer,PSA_SICAL,5,6,1,0,0,0,0.721,25.3
TUTU7207855,Export,Granite,Dry,PSA_SICAL,10,0,0,0,1,0,0.741,57.6
TUTU5896359,Import,Timber,Dry,DBGT,1,5,1,0,0,0,0.795,64.6
TUTU4836197,Export,Salt,Dry,PSA_SICAL,11,5,1,0,1,0,0.885,65.0
TUTU3383446,Export,Granite,Dry,PSA_SICAL,2,6,1,0,0,0,0.84,51.6
TUTU3257675,Export,Granite,Dry,DBGT,6,5,1,0,0,1,0.893,94.6
TUTU1959869,Import,Timber,Dry,DBGT,6,1,0,1,0,1,0.958,151.3
TUTU4232839,Import,Chemicals,Hazardous,DBGT,1,5,1,1,0,0,0.811,111.4
TUTU8853852,Import,Electronics,Dry,DBGT,3,5,1,0,0,0,0.711,66.3
TUTU9771312,Import,Chemicals,Hazardous,PSA_SICAL,4,6,1,0,0,0,0.894,95.8
TUTU1500283,Export,Electronics,Dry,PSA_SICAL,10,0,0,0,1,0,0.802,49.4
TUTU8453779,Import,Chemicals,Hazardous,PSA_SICAL,9,0,0,0,0,0,0.854,83.6
TUTU1522867,Import,Machinery,ODC,PSA_SICAL,9,5,1,0,0,1,0.835,111.5
TUTU6266721,Export,Salt,Dry,DBGT,1,5,1,0,0,0,0.785,44.0
TUTU1134947,Import,Coal,Dry,DBGT,2,1,0,0,0,0,0.775,65.7
TUTU6322262,Import,Electronics,Dry,DBGT,9,6,1,0,0,0,0.727,72.7
TUTU1333757,Export,Seafood,Reefer,PSA_SICAL,5,1,0,0,0,0,0.911,44.7
TUTU8224343,Export,Textiles,Dry,DBGT,10,5,1,0,1,0,0.834,55.8
TUTU5476250,Import,Electronics,Dry,PSA_SICAL,12,3,0,0,1,0,0.801,79.1
TUTU9463161,Export,Seafood,Reefer,DBGT,10,4,0,0,1,0,0.87,31.7
TUTU8273159,Export,Seafood,Reefer,PSA_SICAL,4,5,1,0,0,0,0.781,28.0
TUTU2358938,Import,Seafood,Reefer,DBGT,5,3,0,0,0,0,0.822,46.7
TUTU1000007,Import,Coal,Dry,PSA_SICAL,1,6,1,0,0,0,0.815,77.7
TUTU5747903,Export,Seafood,Reefer,PSA_SICAL,6,0,0,0,0,0,0.858,35.6
TUTU8342573,Export,Salt,Dry,PSA_SICAL,10,6,1,0,1,0,0.832,57.6
TUTU5649170,Import,Chemicals,Hazardous,PSA_SICAL,8,1,0,0,0,0,0.905,100.5
TUTU3582907,Export,Salt,Dry,DBGT,8,5,1,0,0,0,0.809,44.7
TUTU1035047,Export,Seafood,Reefer,PSA_SICAL,11,2,0,0,1,0,0.877,38.5
TUTU4926616,Import,Electronics,Dry,PSA_SICAL,11,0,0,0,1,0,0.851,86.7
TUTU7781144,Import,Machinery,ODC,DBGT,5,4,0,0,0,1,0.733,99.8
TUTU9225141,Import,EdibleOil,LiquidBulk,PSA_SICAL,7,3,0,0,0,0,0.862,90.8
TUTU3055025,Import,Seafood,Reefer,PSA_SICAL,11,2,0,0,1,0,0.842,61.6
TUTU3244825,Export,Seafood,Reefer,PSA_SICAL,8,3,0,0,0,0,0.779,26.1
TUTU7839864,Export,Sugar,Dry,PSA_SICAL,10,5,1,0,1,0,0.824,61.1
TUTU4682030,Import,EdibleOil,LiquidBulk,DBGT,1,6,1,0,0,0,0.779,81.4
TUTU8566264,Export,Seafood,Reefer,PSA_SICAL,7,2,0,0,0,0,0.775,19.3
TUTU2093945,Export,Salt,Dry,PSA_SICAL,5,3,0,0,0,0,0.727,36.0
TUTU4072406,Import,Chemicals,Hazardous,PSA_SICAL,6,0,0,0,0,0,0.792,84.7
TUTU5887840,Export,Sugar,Dry,PSA_SICAL,3,1,0,0,0,0,0.82,47.4
TUTU7198769,Export,Machinery,ODC,DBGT,1,5,1,0,0,0,0.772,55.7
TUTU3995698,Export,Seafood,Reefer,PSA_SICAL,7,4,0,0,0,0,0.828,22.6
TUTU6008374,Import,Coal,Dry,PSA_SICAL,7,2,0,0,0,0,0.785,66.2
TUTU6340529,Import,Coal,Dry,PSA_SICAL,2,2,0,0,0,1,0.855,108.3
TUTU7360262,Export,Salt,Dry,DBGT,6,1,0,0,0,1,0.882,85.2
TUTU6105241,Import,Coal,Dry,PSA_SICAL,10,1,0,0,1,1,0.725,124.6
TUTU7285856,Import,EdibleOil,LiquidBulk,DBGT,11,3,0,0,1,0,0.777,88.1
TUTU2387678,Export,Electronics,Dry,DBGT,7,3,0,0,0,0,0.835,44.1
